file_path,xmp_path,title,description,keywords,keywords_text,keywords_list,hierarchical_keywords,print_id,negative_sleeve,frame_number,film,thumb_path,negative_scan,missing
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9227.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9227.xmp,,,Archive; M2025-17; PrintID,Archive; M2025-17; PrintID,"['Archive', 'M2025-17', 'PrintID']",Archive|PrintID|M2025-17,M2025-17,,,,thumbs/_DSC9227.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9233.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9233.xmp,,,Archive; M2024-83; M32; NegativeSleeve; PrintID,Archive; M2024-83; M32; NegativeSleeve; PrintID,"['Archive', 'M2024-83', 'M32', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M32; Archive|PrintID|M2024-83,M2024-83,M32,,,thumbs/_DSC9233.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9192.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9192.xmp,,,Archive; M2023-37; M9; NegativeSleeve; PrintID,Archive; M2023-37; M9; NegativeSleeve; PrintID,"['Archive', 'M2023-37', 'M9', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M9; Archive|PrintID|M2023-37,M2023-37,M9,,,thumbs/_DSC9192.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9186.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9186.xmp,,,Archive; M2023-34; M4; NegativeSleeve; PrintID,Archive; M2023-34; M4; NegativeSleeve; PrintID,"['Archive', 'M2023-34', 'M4', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M4; Archive|PrintID|M2023-34,M2023-34,M4,,,thumbs/_DSC9186.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9151.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9151.xmp,,,Archive; M2024-96; M53; NegativeSleeve; PrintID,Archive; M2024-96; M53; NegativeSleeve; PrintID,"['Archive', 'M2024-96', 'M53', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M53; Archive|PrintID|M2024-96,M2024-96,M53,,,thumbs/_DSC9151.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9179.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9179.xmp,,,Archive; M18; M2023-26; NegativeSleeve; PrintID,Archive; M18; M2023-26; NegativeSleeve; PrintID,"['Archive', 'M18', 'M2023-26', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M18; Archive|PrintID|M2023-26,M2023-26,M18,,,thumbs/_DSC9179.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9178.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9178.xmp,,,2023-24; Archive; PrintID,2023-24; Archive; PrintID,"['2023-24', 'Archive', 'PrintID']",Archive|PrintID|2023-24,2023-24,,,,thumbs/_DSC9178.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9150.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9150.xmp,,,2023-17; Archive; PrintID,2023-17; Archive; PrintID,"['2023-17', 'Archive', 'PrintID']",Archive|PrintID|2023-17,2023-17,,,,thumbs/_DSC9150.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9193.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9193.xmp,,,Archive; M2024-108; M44; NegativeSleeve; PrintID,Archive; M2024-108; M44; NegativeSleeve; PrintID,"['Archive', 'M2024-108', 'M44', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M44; Archive|PrintID|M2024-108,M2024-108,M44,,,thumbs/_DSC9193.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9232.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9232.xmp,,,Archive; M2023-17; PrintID,Archive; M2023-17; PrintID,"['Archive', 'M2023-17', 'PrintID']",Archive|PrintID|M2023-17,M2023-17,,,,thumbs/_DSC9232.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9230.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9230.xmp,,,2023-9; Archive; PrintID,2023-9; Archive; PrintID,"['2023-9', 'Archive', 'PrintID']",Archive|PrintID|2023-9,2023-9,,,,thumbs/_DSC9230.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9224.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9224.xmp,,,Archive; M2023-16; PrintID,Archive; M2023-16; PrintID,"['Archive', 'M2023-16', 'PrintID']",Archive|PrintID|M2023-16,M2023-16,,,,thumbs/_DSC9224.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9218.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9218.xmp,,,Archive; M2024-24; M9; NegativeSleeve; PrintID,Archive; M2024-24; M9; NegativeSleeve; PrintID,"['Archive', 'M2024-24', 'M9', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M9; Archive|PrintID|M2024-24,M2024-24,M9,,,thumbs/_DSC9218.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9185.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9185.xmp,,,Archive; M16; M2023-31; NegativeSleeve; PrintID,Archive; M16; M2023-31; NegativeSleeve; PrintID,"['Archive', 'M16', 'M2023-31', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M16; Archive|PrintID|M2023-31,M2023-31,M16,,,thumbs/_DSC9185.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9153.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9153.xmp,,,Archive; M2024-94; M41; NegativeSleeve; PrintID,Archive; M2024-94; M41; NegativeSleeve; PrintID,"['Archive', 'M2024-94', 'M41', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M41; Archive|PrintID|M2024-94,M2024-94,M41,,,thumbs/_DSC9153.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9147.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9147.xmp,,,2023-18; Archive; PrintID,2023-18; Archive; PrintID,"['2023-18', 'Archive', 'PrintID']",Archive|PrintID|2023-18,2023-18,,,,thumbs/_DSC9147.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9190.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9190.xmp,,,Archive; M20; M2023-36; NegativeSleeve; PrintID,Archive; M20; M2023-36; NegativeSleeve; PrintID,"['Archive', 'M20', 'M2023-36', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M20; Archive|PrintID|M2023-36,M2023-36,M20,,,thumbs/_DSC9190.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9219.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9219.xmp,,,Archive; M2024-80; M32; NegativeSleeve; PrintID,Archive; M2024-80; M32; NegativeSleeve; PrintID,"['Archive', 'M2024-80', 'M32', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M32; Archive|PrintID|M2024-80,M2024-80,M32,,,thumbs/_DSC9219.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9225.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9225.xmp,,,Archive; M2025-16; PrintID,Archive; M2025-16; PrintID,"['Archive', 'M2025-16', 'PrintID']",Archive|PrintID|M2025-16,M2025-16,,,,thumbs/_DSC9225.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9231.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9231.xmp,,,Archive; M2025-19; PrintID,Archive; M2025-19; PrintID,"['Archive', 'M2025-19', 'PrintID']",Archive|PrintID|M2025-19,M2025-19,,,,thumbs/_DSC9231.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9209.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9209.xmp,,,Archive; M16; M2023-45; NegativeSleeve; PrintID,Archive; M16; M2023-45; NegativeSleeve; PrintID,"['Archive', 'M16', 'M2023-45', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M16; Archive|PrintID|M2023-45,M2023-45,M16,,,thumbs/_DSC9209.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9235.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9235.xmp,,,Archive; M2024-85; M54; NegativeSleeve; PrintID,Archive; M2024-85; M54; NegativeSleeve; PrintID,"['Archive', 'M2024-85', 'M54', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M54; Archive|PrintID|M2024-85,M2024-85,M54,,,thumbs/_DSC9235.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9221.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9221.xmp,,,Archive; M2024-82; M32; NegativeSleeve; PrintID,Archive; M2024-82; M32; NegativeSleeve; PrintID,"['Archive', 'M2024-82', 'M32', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M32; Archive|PrintID|M2024-82,M2024-82,M32,,,thumbs/_DSC9221.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9180.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9180.xmp,,,Archive; M16; M2023-27; NegativeSleeve; PrintID,Archive; M16; M2023-27; NegativeSleeve; PrintID,"['Archive', 'M16', 'M2023-27', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M16; Archive|PrintID|M2023-27,M2023-27,M16,,,thumbs/_DSC9180.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9194.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9194.xmp,,,Archive; M19; M2023-38; NegativeSleeve; PrintID,Archive; M19; M2023-38; NegativeSleeve; PrintID,"['Archive', 'M19', 'M2023-38', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M19; Archive|PrintID|M2023-38,M2023-38,M19,,,thumbs/_DSC9194.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9157.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9157.xmp,,,Archive; M2024-91; M57; NegativeSleeve; PrintID,Archive; M2024-91; M57; NegativeSleeve; PrintID,"['Archive', 'M2024-91', 'M57', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M57; Archive|PrintID|M2024-91,M2024-91,M57,,,thumbs/_DSC9157.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9156.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9156.xmp,,,2023-16; Archive; PrintID,2023-16; Archive; PrintID,"['2023-16', 'Archive', 'PrintID']",Archive|PrintID|2023-16,2023-16,,,,thumbs/_DSC9156.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9195.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9195.xmp,,,Archive; M10; M2023-39; NegativeSleeve; PrintID,Archive; M10; M2023-39; NegativeSleeve; PrintID,"['Archive', 'M10', 'M2023-39', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M10; Archive|PrintID|M2023-39,M2023-39,M10,,,thumbs/_DSC9195.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9181.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9181.xmp,,,Archive; M16; M2023-28; NegativeSleeve; PrintID,Archive; M16; M2023-28; NegativeSleeve; PrintID,"['Archive', 'M16', 'M2023-28', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M16; Archive|PrintID|M2023-28,M2023-28,M16,,,thumbs/_DSC9181.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9220.nef,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-10-22/_DSC9220.xmp,,,Archive; M2024-81; M32; NegativeSleeve; PrintID,Archive; M2024-81; M32; NegativeSleeve; PrintID,"['Archive', 'M2024-81', 'M32', 'NegativeSleeve', 'PrintID']",Archive|NegativeSleeve|M32; Archive|PrintID|M2024-81,M2024-81,M32,,,thumbs/_DSC9220.jpg,False,False
